condition,time_ms,V_h_mV,V_d_mV,V_s_mV,g_syn_nS
high,31.060000000000006,-68.09523036108592,-68.75073506721277,-69.49561605668558,0.05033819599763366
high,31.070000000000004,-68.0981024741027,-68.75145401939608,-69.49537084769133,0.05017068135714848
high,31.080000000000002,-68.1009674064436,-68.75217279489088,-69.4951262420068,0.05000372416919456
high,31.090000000000003,-68.10382517823324,-68.75289139146976,-69.49488223901392,0.049837322578690266
high,31.1,-68.10667580953938,-68.75360980691705,-69.49463883809388,0.04967147473672738
high,31.110000000000003,-68.10951932037312,-68.75432803902886,-69.49439603862726,0.04950617880055035
high,31.12,-68.11235573068896,-68.75504608561297,-69.49415383999396,0.04934143293353601
high,31.130000000000003,-68.11518506038506,-68.75576394448879,-69.49391224157321,0.04917723530517297
high,31.14,-68.11800732930324,-68.75648161348735,-69.49367124274364,0.0490135840910415
high,31.150000000000006,-68.12082255722933,-68.75719909045127,-69.49343084288321,0.04885047747279303
high,31.160000000000004,-68.1236307638931,-68.75791637323461,-69.49319104136924,0.0486879136381302
high,31.17,-68.12643196896859,-68.75863345970298,-69.49295183757843,0.0485258907807865
high,31.180000000000003,-68.12922619207414,-68.75935034773337,-69.49271323088689,0.04836440710050624
high,31.19,-68.13201345277253,-68.76006703521419,-69.49247522067006,0.0482034608030247
high,31.200000000000003,-68.13479377057126,-68.76078352004514,-69.49223780630282,0.048043050100047974
high,31.21,-68.13756716492253,-68.76149980013726,-69.49200098715944,0.047883173209233326
high,31.220000000000002,-68.1403336552235,-68.7622158734128,-69.4917647626136,0.04772382835416917
high,31.230000000000004,-68.1430932608164,-68.76293173780532,-69.49152913203837,0.04756501376435543
high,31.240000000000006,-68.14584600098864,-68.76364739125943,-69.49129409480625,0.047406727675184036
high,31.25,-68.14859189497302,-68.76436283173093,-69.49105965028923,0.04724896832791903
high,31.26,-68.15133096194783,-68.7650780571867,-69.49082579785865,0.04709173396967701
high,31.27,-68.15406322103698,-68.76579306560463,-69.49059253688529,0.046935022853408115
high,31.28,-68.15678869131021,-68.76650785497365,-69.49035986673944,0.046778833237875926
high,31.290000000000006,-68.15950739178315,-68.76722242329362,-69.49012778679082,0.04662316338763875
high,31.3,-68.16221934141755,-68.76793676857531,-69.4898962964086,0.04646801157303008
high,31.310000000000006,-68.16492455912135,-68.7686508888404,-69.4896653949614,0.04631337607013909
high,31.32,-68.16762306374888,-68.76936478212136,-69.48943508181735,0.04615925516079211
high,31.330000000000005,-68.17031487410091,-68.77007844646145,-69.48920535634402,0.04600564713253283
high,31.34,-68.17300000892492,-68.7707918799147,-69.4889762179085,0.04585255027860398
high,31.35,-68.17567848691513,-68.77150508054584,-69.48874766587736,0.04569996289792764
high,31.360000000000007,-68.17835032671275,-68.77221804643025,-69.48851969961666,0.045547883295086994
high,31.37,-68.18101554690602,-68.77293077565398,-69.48829231849193,0.04539630978030722
high,31.380000000000006,-68.18367416603041,-68.7736432663136,-69.48806552186831,0.04524524066943638
high,31.39,-68.1863262025687,-68.77435551651627,-69.48783930911036,0.045094674283927466
high,31.400000000000006,-68.18897167495119,-68.77506752437962,-69.48761367958218,0.044944608950818865
high,31.41,-68.19161060155584,-68.77577928803174,-69.48738863264747,0.04479504300271666
high,31.42,-68.19424300070833,-68.77649080561118,-69.48716416766933,0.04464597477777525
high,31.43,-68.19686889068228,-68.77720207526683,-69.48694028401056,0.04449740261967967
high,31.44,-68.1994882896994,-68.77791309515796,-69.48671698103338,0.04434932487762644
high,31.450000000000006,-68.20210121592953,-68.7786238634541,-69.48649425809964,0.0442017399063059
high,31.46,-68.20470768749084,-68.77933437833505,-69.48627211457068,0.04405464606588362
high,31.470000000000006,-68.20730772244998,-68.78004463799085,-69.48605054980749,0.04390804172198188
high,31.48,-68.20990133882226,-68.78075464062172,-69.48582956317054,0.0437619252456622
high,31.490000000000006,-68.21248855457165,-68.781464384438,-69.48560915401994,0.04361629501340649
high,31.5,-68.21506938761104,-68.78217386766012,-69.48538932171537,0.043471149407099764
high,31.51,-68.21764385580235,-68.78288308851866,-69.48517006561606,0.043326486814011356
high,31.52,-68.22021197695662,-68.78359204525408,-69.48495138508092,0.04318230562677784
high,31.53,-68.22277376883417,-68.78430073611696,-69.48473327946834,0.04303860424338432
high,31.540000000000006,-68.22532924914482,-68.78500915936776,-69.48451574813643,0.042895381067147416
